CH_000	GAMMA
315	0.00770695970695971
320	0.00824908424908425
315	0.00823809523809524
265	0.0078021978021978
225	0.00728937728937729
185	0.00678388278388278
150	0.00624908424908425
120	0.00573992673992674
80	0.00520879120879121
45	0.00469230769230769
30	0.00416849816849817
20	0.00364102564102564
20	0.00310622710622711
10	0.00258974358974359
5	0.00208791208791209
-5	0.00158241758241758
-10	0.00104761904761905
-10	0.000523809523809524
-15	3.66300366300366e-06
-20	-0.000527472527472527
-25	-0.00105494505494506
-25	-0.00157875457875458
-35	-0.00211721611721612
-35	-0.00263003663003663
-35	-0.00315384615384615
-45	-0.00392307692307692
-50	-0.00443956043956044
-50	-0.00495238095238095
-60	-0.00549084249084249
-60	-0.006003663003663
-60	-0.00652014652014652
-65	-0.00705494505494506
-70	-0.00758241758241758
-80	-0.0080989010989011
-80	-0.00830769230769231
-35	-0.00807692307692308
-15	-0.00756776556776557
0	-0.00703296703296703
5	-0.00654212454212454
10	-0.00602564102564103
15	-0.0055018315018315
20	-0.00498534798534798
25	-0.00445421245421245
25	-0.00393772893772894
30	-0.00340659340659341
30	-0.00288278388278388
30	-0.00234798534798535
35	-0.00182417582417582
35	-0.0013040293040293
35	-0.00078021978021978
45	-0.000267399267399267
40	-6.5934065934066e-05
55	0.000183150183150183
60	0.000706959706959707
70	0.00123076923076923
80	0.00173992673992674
85	0.00228571428571429
95	0.00281318681318681
115	0.00332600732600733
135	0.00385347985347985
165	0.00436630036630037
200	0.00489010989010989
240	0.00541391941391941
280	0.00593040293040293
305	0.00645787545787546
315	0.00698168498168498
320	0.00749084249084249
330	0.00802564102564103
330	0.00823809523809524
290	0.008
250	0.00749450549450549
205	0.00696703296703297
170	0.00646153846153846
120	0.0056959706959707
75	0.00516849816849817
45	0.00466300366300366
30	0.00412820512820513
20	0.00362271062271062
20	0.00307692307692308
15	0.00256410256410256
5	0.00204395604395604
0	0.00154578754578755
-5	0.00103296703296703
-10	0.000505494505494506
-15	-2.93040293040293e-05
-20	-0.000549450549450549
-20	-0.00108058608058608
-25	-0.00159340659340659
-25	-0.00210989010989011
-30	-0.00263369963369963
-35	-0.00317216117216117
-35	-0.00367765567765568
-40	-0.00420879120879121
-40	-0.00472893772893773
-45	-0.00524908424908425
-55	-0.00577655677655678
-55	-0.00628937728937729
-60	-0.00683150183150183
-65	-0.00734432234432235
-75	-0.00786080586080586
-90	-0.0083003663003663
-75	-0.00831135531135531
-20	-0.00780586080586081
-10	-0.00728205128205128
0	-0.00676556776556776
5	-0.00627106227106227
10	-0.00575457875457875
15	-0.00523809523809524
20	-0.0047032967032967
20	-0.00418315018315018
25	-0.00365934065934066
25	-0.00312820512820513
30	-0.00261538461538461
25	-0.00208424908424908
35	-0.00156043956043956
35	-0.00104395604395604
35	-0.000527472527472527
40	-7.69230769230769e-05
45	-4.02930402930403e-05
60	0.00102197802197802
85	0.00211355311355311
130	0.00374358974358974
195	0.00484981684981685
280	0.00592673992673993
315	0.00701465201465201
336	0.00811721611721612
341	0.00921611721611722
341	0.0102967032967033
341	0.0114139194139194
341	0.0124725274725275
346	0.0135860805860806
351	0.0146996336996337
361	0.0158021978021978
376	0.0166043956043956
351	0.0164725274725275
310	0.0153589743589744
285	0.0142857142857143
265	0.0131758241758242
235	0.0121025641025641
215	0.011010989010989
200	0.00989010989010989
180	0.0088021978021978
165	0.00772161172161172
135	0.00661904761904762
80	0.00555677655677656
35	0.00447619047619048
15	0.00338827838827839
10	0.0023040293040293
-5	0.00124542124542125
-10	0.000139194139194139
-25	-0.00095970695970696
-30	-0.00204395604395604
-35	-0.00312454212454212
-45	-0.00422710622710623
-50	-0.00533333333333333
-60	-0.00641025641025641
-85	-0.00749450549450549
-115	-0.00857509157509158
-135	-0.00965934065934066
-170	-0.0107472527472527
-220	-0.0118205128205128
-290	-0.0129010989010989
-376	-0.013996336996337
-486	-0.015040293040293
-611	-0.0161098901098901
-631	-0.0165311355311355
-461	-0.0160659340659341
-270	-0.015014652014652
-145	-0.0139450549450549
-65	-0.0129120879120879
-20	-0.0118168498168498
0	-0.0107435897435897
15	-0.00913553113553114
20	-0.00804395604395605
30	-0.00694871794871795
35	-0.00586446886446887
35	-0.00478021978021978
40	-0.00368498168498169
40	-0.00261172161172161
40	-0.00152380952380952
55	-0.00043956043956044
55	-9.89010989010989e-05
70	0.000542124542124542
90	0.00164835164835165
110	0.00274725274725275
150	0.00383882783882784
210	0.00490476190476191
280	0.00600732600732601
295	0.00708424908424908
305	0.00818315018315018
320	0.00927106227106227
325	0.0103772893772894
330	0.0114908424908425
336	0.0125750915750916
346	0.0136483516483516
341	0.0147875457875458
351	0.0158717948717949
366	0.0165750915750916
336	0.0163626373626374
300	0.0152747252747253
275	0.0141758241758242
250	0.0130915750915751
225	0.011970695970696
205	0.0108901098901099
195	0.00980586080586081
175	0.00870695970695971
160	0.00762271062271062
130	0.00652014652014652
85	0.00545421245421245
30	0.00437362637362637
15	0.00327472527472528
10	0.00218681318681319
-10	0.00111721611721612
-10	3.2967032967033e-05
-20	-0.00104761904761905
-30	-0.00214285714285714
-35	-0.00322344322344322
-40	-0.00432967032967033
-50	-0.00540659340659341
-55	-0.00649084249084249
-70	-0.00757142857142857
-90	-0.00864102564102564
-115	-0.00971428571428572
