ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,変位計1,,γ1-2,,PS2C1
177,198,181.48,7.72,-0.09,0.09,6.84,-1.39,-0.24,4.38,0,0,0,166,25,0,815,2515,,93.83,181.48,0.076378022,,198
178,200,184.29,7.82,-0.09,0.09,6.93,-1.43,-0.23,4.44,0,0,0,168,25.5,0,815,2520,,96.64,184.29,0.077569231,,200
179,201,188.77,7.94,-0.08,0.1,7.09,-1.49,-0.22,4.56,0,0,0,172,28,0,815,2529,,101.12,188.77,0.079485714,,201
180,203,189.84,7.94,-0.08,0.09,7.12,-1.5,-0.2,4.61,0,0,0,172.5,27,0,815,2532,,102.19,189.84,0.079956044,,203
181,189,190.24,8,-0.09,0.09,7.19,-1.64,-0.19,4.59,0,0,0,172.5,27,0,815,2645,,102.59,190.24,0.080105495,,189
182,179,189.16,8.13,-0.09,0.09,7.2,-1.64,-0.19,4.58,0,0,0,171,26.5,0,815,2647,,101.51,189.16,0.079573626,,179
183,172,187.81,8.14,-0.09,0.09,7.27,-1.63,-0.18,4.56,0,0,0,170,25.5,0,815,2650,,100.16,187.81,0.078975824,,172
184,167,186.74,8.14,-0.1,0.08,7.32,-1.63,-0.17,4.54,0,0,0,169.5,25,0,815,2652,,99.09,186.74,0.078505495,,167
185,164,184.98,8.03,-0.08,0.09,7.41,-1.63,-0.16,4.51,0,0,0,167.5,26,0,815,2656,,97.33,184.98,0.07778022,,164
186,152,182.07,7.93,-0.09,0.09,7.52,-1.63,-0.14,4.45,0,0,0,165,25.5,0,815,2702,,94.42,182.07,0.076545055,,152
187,147,180.51,7.93,-0.09,0.09,7.56,-1.63,-0.14,4.4,0,0,0,164,25,0,815,2705,,92.86,180.51,0.075859341,,147
188,145,179.26,7.84,-0.09,0.09,7.59,-1.63,-0.14,4.37,0,0,0,163.5,25.5,0,815,2707,,91.61,179.26,0.075349451,,145
189,139,177.03,7.82,-0.11,0.08,7.64,-1.63,-0.14,4.31,0,0,0,162,25,0,815,2712,,89.38,177.03,0.074378022,,139
190,132,174.6,7.72,-0.1,0.09,7.64,-1.62,-0.13,4.25,0,0,0,158.5,24,0,815,2716,,86.95,174.6,0.073353846,,132
191,128,173.05,7.71,-0.1,0.08,7.64,-1.62,-0.14,4.21,0,0,0,157.5,24.5,0,815,2720,,85.4,173.05,0.072676923,,128
192,124,171.22,7.61,-0.09,0.09,7.61,-1.61,-0.14,4.16,0,0,0,156,24,0,815,2723,,83.57,171.22,0.071916484,,124
193,120,169.87,7.62,-0.09,0.09,7.59,-1.61,-0.14,4.12,0,0,0,154.5,23.5,0,815,2726,,82.22,169.87,0.071318681,,120
