ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,変位計1,,γ1-2,,,筋かい有
108,623,30.35,2.53,-0.32,0.26,0.1,-0.46,-0.25,-1.45,0.24,1.58,8.08,25,3.5,990,812,5244,,,30.35,,0.012228571,,,623
109,639,31.22,2.53,-0.32,0.26,0.06,-0.47,-0.26,-1.56,0.24,1.64,8.16,25.5,3.5,1013,812,5246,,,31.22,,0.012610989,,,639
110,653,32.03,2.52,-0.33,0.27,0.05,-0.48,-0.29,-1.66,0.24,1.7,8.2,25.5,3,1033,812,5248,,,32.03,,0.012971429,,,653
111,663,32.76,2.57,-0.32,0.27,0.01,-0.5,-0.32,-1.71,0.24,1.98,8.3,26,3,1025,812,5249,,,32.76,,0.01327033,,,663
112,661,33.72,2.64,-0.32,0.27,0.02,-0.49,-0.31,-1.74,0.26,2.26,8.34,26.5,4,1040,812,5251,,,33.72,,0.013661538,,,661
113,678,34.77,2.64,-0.31,0.27,0.01,-0.5,-0.31,-1.8,0.26,2.52,8.4,27.5,4.5,1058,812,5254,,,34.77,,0.014123077,,,678
114,686,35.55,2.65,-0.36,0.27,0.02,-0.49,-0.31,-1.86,0.26,2.7,8.42,28,4,1073,812,5256,,,35.55,,0.014461538,,,686
115,700,36.42,2.74,-0.42,0.26,-0.01,-0.5,-0.32,-1.9,0.32,2.86,8.46,28,4.5,1090,812,5257,,,36.42,,0.014804396,,,700
116,713,37.28,2.74,-0.42,0.28,0,-0.49,-0.31,-1.93,0.38,3.08,8.52,29,4,1108,812,5259,,,37.28,,0.015182418,,,713
117,728,38.06,2.75,-0.43,0.28,0,-0.5,-0.33,-1.96,0.46,3.3,8.56,29.5,4,1118,812,5301,,,38.06,,0.015520879,,,728
118,736,38.82,2.77,-0.43,0.28,0,-0.51,-0.33,-2.03,0.5,3.52,8.6,30,4,1128,812,5303,,,38.82,,0.015846154,,,736
119,749,39.59,2.84,-0.44,0.27,0,-0.51,-0.34,-2.06,0.56,3.74,8.64,30.5,4.5,1143,812,5305,,,39.59,,0.016153846,,,749
120,758,40.36,2.85,-0.53,0.27,0.01,-0.52,-0.34,-2.08,0.6,3.96,8.7,30.5,4.5,1158,812,5306,,,40.36,,0.016487912,,,758
121,770,41.12,2.87,-0.54,0.27,0,-0.53,-0.35,-2.1,0.68,4.18,8.76,32.5,4.5,1170,812,5308,,,41.12,,0.016813187,,,770
122,779,41.99,2.95,-0.53,0.28,0,-0.54,-0.36,-2.13,0.74,4.4,8.78,33,4,1183,812,5310,,,41.99,,0.01716044,,,779
123,795,42.76,2.95,-0.54,0.27,0,-0.55,-0.36,-2.14,0.8,4.62,8.84,33.5,5,1195,812,5312,,,42.76,,0.017498901,,,795
124,812,43.53,2.95,-0.63,0.28,0.01,-0.54,-0.37,-2.17,0.88,4.82,8.86,33.5,5,1210,812,5314,,,43.53,,0.017837363,,,812
125,828,44.3,3.05,-0.63,0.27,0.02,-0.56,-0.38,-2.19,0.94,5,8.92,34,5,1223,812,5316,,,44.3,,0.018131868,,,828
126,836,45.06,3.06,-0.63,0.26,0,-0.57,-0.38,-2.22,1.02,5.22,8.96,34.5,5,1238,812,5317,,,45.06,,0.018461538,,,836
127,850,45.84,3.06,-0.64,0.27,0.04,-0.59,-0.39,-2.29,1.08,5.42,8.98,35.5,6,1250,812,5319,,,45.84,,0.018804396,,,850
128,858,46.6,3.17,-0.74,0.28,0.04,-0.59,-0.39,-2.31,1.16,5.6,9.06,35.5,6,1263,812,5321,,,46.6,,0.01909011,,,858
129,866,47.38,3.17,-0.74,0.27,0.06,-0.6,-0.39,-2.33,1.24,5.78,9.1,36.5,6,1275,812,5323,,,47.38,,0.019432967,,,866
130,878,48.14,3.17,-0.79,0.27,0.06,-0.61,-0.4,-2.35,1.3,5.96,9.14,37,5.5,1288,812,5325,,,48.14,,0.019767033,,,878
131,889,48.92,3.27,-0.83,0.28,0.08,-0.62,-0.41,-2.38,1.38,6.14,9.18,37.5,5,1303,812,5326,,,48.92,,0.020065934,,,889
132,897,49.68,3.26,-0.84,0.28,0.09,-0.64,-0.41,-2.4,1.46,6.3,9.2,38,6,1315,812,5328,,,49.68,,0.020404396,,,897
133,904,50.46,3.27,-0.95,0.27,0.11,-0.65,-0.42,-2.44,1.52,6.48,9.26,38.5,6.5,1323,812,5330,,,50.46,,0.020742857,,,904
134,914,51.12,3.27,-0.96,0.27,0.11,-0.64,-0.42,-2.45,1.6,6.64,9.3,39.5,6,1338,812,5332,,,51.12,,0.021032967,,,914
135,931,51.91,3.27,-0.96,0.27,0.13,-0.67,-0.43,-2.48,1.68,6.82,9.3,40,6.5,1348,812,5333,,,51.91,,0.02138022,,,931
136,942,52.66,3.27,-1.04,0.29,0.14,-0.67,-0.44,-2.51,1.74,6.98,9.38,40,5.5,1358,812,5335,,,52.66,,0.02170989,,,942
137,960,53.42,3.26,-1.06,0.27,0.15,-0.68,-0.44,-2.53,1.84,7.16,9.42,41,6,1370,812,5337,,,53.42,,0.022048352,,,960
138,972,54.19,3.27,-1.11,0.27,0.16,-0.7,-0.44,-2.59,1.9,7.3,9.46,41.5,5.5,1383,812,5339,,,54.19,,0.022382418,,,972
