,â◊èd,ïœà 1,ïœà 2,ïœà 3,ïœà 4,ïœà 5,ïœà 6,ïœà 7,ïœà 8,9,10,11,ïœ12,ïœ13,14,ì˙Å@éû,ï™Å@ïb,,
180,1,15.19,0.64,-0.12,-0.01,0.37,0.01,-0.3,-0.01,0,0,0,-15,-1,0,2613,4626,0,1800
181,-1,14.43,0.64,-0.11,0.01,0.34,0.01,-0.28,-0.02,0,0,0,-13.5,-0.5,0,2613,4627,0,1810
182,-2,13.65,0.64,-0.11,0.01,0.33,0.01,-0.26,-0.02,0,0,0,-13.5,-0.5,0,2613,4628,0,1820
183,-3,12.89,0.64,-0.1,0,0.31,0,-0.24,-0.03,0,0,0,-13,-1,0,2613,4630,0,1830
184,-2,12.79,0.64,-0.1,0.01,0.31,0.01,-0.24,-0.03,0,0,0,-13,-0.5,0,2613,4707,0,1840
185,3,13.36,0.65,-0.09,0.02,0.31,0,-0.24,-0.04,0,0,0,-14,-1,0,2613,4709,0,1850
186,6,14.23,0.65,-0.09,0.01,0.32,0,-0.24,-0.03,0,0,0,-15,-1.5,0,2613,4710,0,1860
187,7,15,0.66,-0.08,0.02,0.36,0.01,-0.25,-0.01,0,0,0,-15.5,-0.5,0,2613,4711,0,1870
188,11,15.79,0.65,-0.1,0.02,0.37,0,-0.26,-0.01,0,0,0,-16,-1,0,2613,4713,0,1880
189,13,16.64,0.65,-0.1,0.02,0.4,0,-0.29,0,0,0,0,-17,-1.5,0,2613,4714,0,1890
190,14,17.41,0.76,-0.11,0.01,0.42,0.01,-0.29,0.03,0,0,0,-17.5,-1,0,2613,4715,0,1900
191,17,18.18,0.76,-0.1,0.01,0.45,0,-0.31,0.04,0,0,0,-18.5,-1,0,2613,4717,0,1910
192,17,19.05,0.75,-0.1,0.02,0.47,0.01,-0.32,0.06,0,0,0,-19.5,-1,0,2613,4718,0,1920
193,20,19.82,0.76,-0.1,0.01,0.49,0.01,-0.34,0.06,0,0,0,-19.5,-1.5,0,2613,4719,0,1930
194,21,20.6,0.75,-0.1,0.01,0.53,0.01,-0.34,0.09,0,0,0,-20.5,-2.5,0,2613,4721,0,1940
195,24,21.46,0.87,-0.1,0.02,0.55,0.01,-0.35,0.11,0,0,0,-21,-2.5,0,2613,4722,0,1950
196,25,22.24,0.86,-0.11,0,0.57,0.01,-0.37,0.11,0,0,0,-21.5,-3,0,2613,4723,0,1960
197,27,23.1,0.85,-0.1,0.01,0.61,0.02,-0.37,0.13,0,0,0,-23,-3.5,0,2613,4725,0,1970
198,28,23.88,0.86,-0.1,0.01,0.63,0.01,-0.38,0.14,0,0,0,-23,-3,0,2613,4726,0,1980
199,30,24.65,0.86,-0.09,0.01,0.65,0.02,-0.39,0.16,0,0,0,-24,-3,0,2613,4727,0,1990
200,32,25.44,0.88,-0.1,0.01,0.68,0.01,-0.41,0.17,0,0,0,-25,-3,0,2613,4729,0,2000
201,34,26.27,0.97,-0.1,0.02,0.71,0.01,-0.41,0.19,0,0,0,-26,-2.5,0,2613,4730,0,2010
202,37,27.06,0.96,-0.1,0.01,0.73,0.01,-0.42,0.2,0,0,0,-26.5,-3,0,2613,4731,0,2020
203,39,27.84,0.97,-0.1,0.02,0.75,0.01,-0.43,0.21,0,0,0,-27,-3,0,2613,4733,0,2030
204,39,28.72,0.97,-0.1,0.01,0.79,0.01,-0.44,0.23,0,0,0,-28,-3.5,0,2613,4734,0,2040
205,43,29.48,0.97,-0.09,0.01,0.81,0.01,-0.44,0.25,0,0,0,-28,-3.5,0,2613,4735,0,2050
206,44,30.26,0.97,-0.1,0.02,0.84,0.01,-0.45,0.26,0,0,0,-29.5,-3.5,0,2613,4737,0,2060
207,45,31.12,1.02,-0.09,0.02,0.86,0.01,-0.46,0.28,0,0,0,-30.5,-4.5,0,2613,4738,0,2070
208,48,31.89,1.07,-0.09,0.01,0.89,0.01,-0.47,0.28,0,0,0,-31,-4.5,0,2613,4739,0,2080
209,51,32.67,1.07,-0.09,0.01,0.91,0.01,-0.46,0.3,0,0,0,-32,-4,0,2613,4741,0,2090
210,51,33.45,1.07,-0.09,0.01,0.93,0.01,-0.47,0.32,0,0,0,-32.5,-4,0,2613,4742,0,2100
211,54,34.22,1.08,-0.1,0.01,0.96,0.01,-0.46,0.34,0,0,0,-33,-4.5,0,2613,4743,0,2110
212,54,35,1.08,-0.1,0.01,0.99,0.01,-0.47,0.35,0,0,0,-34,-5,0,2613,4745,0,2120
213,56,35.77,1.07,-0.1,0.01,1.01,0.02,-0.47,0.36,0,0,0,-35.5,-5,0,2613,4746,0,2130
