ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,
171,618,134.56,2.63,0.92,0.01,3.52,-0.43,-1.71,0.86,9.96,12.08,17.8,12.85,1.75,1493,2712,839,,,,,,,,,,
172,612,134.56,2.64,0.96,0.01,3.57,-0.45,-1.75,0.85,10.08,12.42,17.88,13.1,1.8,1470,2712,845,,,,,,,,,,
173,615,134.57,2.7,0.96,0.01,3.58,-0.45,-1.77,0.85,10.16,12.8,17.86,13.2,1.8,1470,2712,850,,,,,,,,,,
174,619,134.56,2.75,1.03,0.01,3.65,-0.45,-1.8,0.85,10.3,13.28,17.86,13.5,1.9,1480,2712,859,,,,,,,,,,
175,620,134.56,2.74,1.02,0.02,3.66,-0.45,-1.81,0.84,10.36,13.44,17.88,13.45,1.85,1485,2712,902,,,,,,,,,,
176,623,134.56,2.72,1.04,0.03,3.7,-0.45,-1.83,0.85,10.5,13.86,17.9,13.6,1.9,1485,2712,910,,,,,,,,,,
177,624,134.56,2.83,1.04,0.01,3.77,-0.45,-1.9,0.84,10.7,14.5,17.92,13.9,1.85,1490,2712,921,,,,,,,,,,
178,629,134.56,2.9,1.04,0.01,3.84,-0.45,-1.93,0.85,10.9,15.16,17.94,14.2,1.9,1495,2712,934,,,,,,,,,,
179,629,134.57,2.95,1.09,0.01,3.92,-0.45,-1.99,0.85,11.06,16,17.96,14.5,1.95,1490,2712,947,,,,,,,,,,
180,592,134.58,3.06,1.14,0.02,3.99,-0.46,-2.01,0.96,11.02,17.28,18,14.65,1.95,1283,2712,954,,,,,,,,,,
181,558,134.57,3.06,1.13,0.01,3.99,-0.47,-2.01,0.98,11,17.6,18,14.8,1.9,1248,2712,956,,,,,,,,,,
182,554,134.57,3.1,1.12,0.02,4,-0.46,-2.01,0.99,10.98,17.82,18.02,14.75,1.9,1245,2712,958,,,,,,,,,,
183,554,134.56,3.15,1.13,0.02,4.02,-0.46,-2.02,1,10.96,18,18,14.85,2,1233,2712,1000,,,,,,,,,,
184,548,134.57,3.15,1.13,0.03,4.04,-0.46,-2.03,1.01,10.96,18.34,18,14.9,2,1223,2712,1003,,,,,,,,,,
185,549,134.56,3.15,1.15,-0.01,4.12,-0.46,-2.04,1.05,10.94,19.1,17.98,15.1,2,1213,2712,1012,,,,,,,,,,
