ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,
132,-178,-21.12,-1.9,2.46,0,-0.5,-0.26,-0.26,0.33,-4.26,1.3,0,-17.5,-2.5,0,710,3206,,,,,,
133,-182,-22.63,-2,2.46,-0.02,-0.54,-0.26,-0.28,0.33,-3.82,1.92,0,-19,-3,0,710,3211,,,,,,
134,-184,-24.16,-2.21,2.47,-0.03,-0.56,-0.26,-0.29,0.34,-3.36,2.76,0,-20,-3,0,710,3216,,,,,,
135,-187,-25.68,-2.32,2.46,-0.04,-0.59,-0.27,-0.31,0.33,-2.94,3.28,0,-21.5,-2.5,0,710,3221,,,,,,
136,-191,-27.29,-2.42,2.45,-0.04,-0.6,-0.27,-0.3,0.33,-2.48,3.8,0,-23,-2.5,0,710,3226,,,,,,
137,-188,-28.81,-2.63,2.45,-0.03,-0.63,-0.27,-0.32,0.33,-1.98,4.16,0,-24,-1.5,0,710,3231,,,,,,
138,-189,-30.35,-2.73,2.42,-0.06,-0.66,-0.28,-0.33,0.33,-1.6,4.4,0,-25,-2.5,0,710,3236,,,,,,
139,-190,-31.87,-2.83,2.5,-0.06,-0.68,-0.25,-0.35,0.33,-1.22,4.7,0,-27,-3,0,710,3240,,,,,,
140,-176,-32.35,-2.94,2.54,-0.03,-0.69,-0.23,-0.4,0.33,-1.14,4.8,0,-28,-2,0,710,3457,,,,,,
141,-147,-30.83,-2.84,2.58,-0.01,-0.7,-0.22,-0.44,0.34,-1.5,4.46,0,-26.5,-3.5,0,710,3502,,,,,,
142,-129,-29.2,-2.75,2.51,-0.04,-0.74,-0.24,-0.47,0.36,-1.88,4.04,0,-24,-1.5,0,710,3506,,,,,,
143,-112,-27.29,-2.52,2.32,-0.04,-0.73,-0.24,-0.48,0.38,-2.26,3.56,0,-22.5,-1,0,710,3511,,,,,,
144,-95,-25.57,-2.42,2.23,-0.04,-0.71,-0.2,-0.48,0.4,-2.6,3.26,0,-21.5,-3,0,710,3516,,,,,,
145,-81,-23.77,-2.3,2.13,0,-0.71,-0.15,-0.49,0.42,-2.94,2.86,0,-19.5,-1,0,710,3521,,,,,,
146,-63,-21.95,-2.1,2.03,-0.03,-0.71,-0.12,-0.45,0.43,-3.26,2.5,0,-18.5,-1.5,0,710,3525,,,,,,
147,-50,-20.15,-2,1.73,-0.03,-0.68,-0.1,-0.44,0.43,-3.5,2.22,0,-16.5,-1,0,710,3530,,,,,,
148,-39,-18.33,-1.79,1.43,-0.04,-0.66,-0.09,-0.41,0.43,-3.8,1.88,0,-15,-0.5,0,710,3535,,,,,,
149,-30,-16.45,-1.69,1.11,-0.02,-0.63,-0.08,-0.38,0.39,-4.08,1.52,0,-13.5,-0.5,0,710,3540,,,,,,
150,-20,-14.56,-1.58,0.71,-0.03,-0.6,-0.08,-0.35,0.34,-4.36,1.2,0,-11.5,-0.5,0,710,3545,,,,,,
151,-11,-12.75,-1.48,0.48,-0.03,-0.56,-0.08,-0.34,0.29,-4.64,0.84,0,-10,0,0,710,3550,,,,,,
152,-5,-10.95,-1.27,0.19,-0.03,-0.52,-0.1,-0.32,0.23,-4.88,0.4,0,-8.5,0,0,710,3555,,,,,,
153,3,-9.03,-1.16,0.08,-0.05,-0.46,-0.11,-0.31,0.18,-5.08,0,0,-7,0.5,0,710,3600,,,,,,
154,10,-7.63,-1.17,0.09,-0.03,-0.4,-0.09,-0.29,0.15,-5.16,-0.08,0,-5.5,0,0,710,3605,,,,,,
155,13,-5.54,-1.06,0.07,-0.03,-0.32,-0.07,-0.26,0.15,-5.04,-0.14,0,-3.5,1,0,710,3611,,,,,,
156,18,-3.93,-0.95,-0.02,-0.03,-0.25,-0.05,-0.24,0.14,-4.72,-0.12,0,-2.5,1,0,710,3616,,,,,,
157,23,-2.23,-0.84,-0.01,-0.03,-0.2,-0.05,-0.23,0.13,-4.72,-0.08,0,-0.5,1,0,710,3621,,,,,,
158,25,-1.37,-0.85,-0.02,-0.03,-0.15,-0.03,-0.2,0.11,-4.7,-0.06,0,0,1.5,0,710,3625,,,,,,
159,27,-1.09,-0.85,-0.02,-0.05,-0.15,-0.04,-0.19,0.1,-4.64,-0.08,0,1,2,0,710,3631,,,,,,
160,32,0.32,-0.73,-0.02,-0.03,-0.09,-0.03,-0.18,0.07,-4.56,-0.06,0,2.5,2,0,710,3635,,,,,,
161,35,1.94,-0.74,-0.02,-0.05,-0.01,-0.01,-0.15,0.07,-4.48,0.08,0,4,2.5,0,710,3640,,,,,,
162,44,3.46,-0.64,-0.01,-0.06,0.05,0.02,-0.13,0.07,-4.32,0.24,0,5.5,2,0,710,3645,,,,,,
163,49,4.6,-0.64,0,-0.06,0.11,0.02,-0.12,0.07,-4.2,0.4,0,7,2.5,0,710,3650,,,,,,
164,53,6.22,-0.53,-0.1,-0.05,0.17,0.03,-0.1,0.07,-4.04,0.58,0,8,3,0,710,3655,,,,,,
165,62,7.82,-0.53,-0.11,-0.04,0.24,0.05,-0.08,0.09,-3.88,0.78,0,9.5,2.5,0,710,3659,,,,,,
166,70,9.44,-0.49,-0.11,-0.02,0.31,0.06,-0.06,0.11,-3.64,1.04,0,10.5,1,0,710,3704,,,,,,
167,80,11.13,-0.42,-0.11,-0.04,0.38,0.07,-0.06,0.12,-3.52,1.22,0,12.5,1.5,0,710,3709,,,,,,
168,88,12.65,-0.43,-0.11,-0.04,0.44,0.08,-0.06,0.13,-3.34,1.34,0,14,3.5,0,710,3714,,,,,,
