ステップ,荷重0,変位計1,変位計2,変位計3,変位計4,変位計5,変位計6,変位計7,変位計8,変位計9,変位計10,変位計11,変位計12,変位計13,荷重14,日時,分秒,,,,,,,,,,,,
95,81,43.06,1.47,1.34,0.02,1.08,0.45,-0.15,0.06,2.46,6.04,4.88,4.25,0.5,88,2717,1403,,,,
96,101,45.29,1.49,1.43,0.02,1.16,0.46,-0.15,0.06,2.66,6.08,5.02,4.45,0.55,135,2717,1409,,,,
97,121,47.41,1.48,1.44,-0.01,1.23,0.46,-0.17,0.05,2.88,6.24,5.02,4.65,0.55,185,2717,1416,,,,
98,151,50.87,1.53,1.46,0,1.35,0.52,-0.18,0.02,3.2,6.52,5.04,4.95,0.55,273,2717,1427,,,,
99,180,54.06,1.58,1.53,0.01,1.46,0.55,-0.2,-0.03,3.42,6.8,5.06,5.25,0.6,360,2717,1437,,,,
100,202,56.07,1.58,1.54,0.01,1.54,0.57,-0.21,-0.06,3.6,6.96,5.02,5.45,0.65,418,2717,1444,,,,
101,220,58.19,1.58,1.65,0.01,1.61,0.59,-0.21,-0.1,3.74,7.14,5.04,5.65,0.75,478,2717,1451,,,,
102,240,60.01,1.58,1.64,0,1.67,0.61,-0.22,-0.14,3.88,7.26,5,5.85,0.7,533,2717,1457,,,,
103,262,61.93,1.7,1.64,0.02,1.75,0.63,-0.23,-0.18,4.04,7.42,4.96,6,0.75,595,2717,1504,,,,
104,301,65.32,1.7,1.75,0.01,1.92,0.65,-0.23,-0.25,4.32,7.66,4.92,6.35,0.8,705,2717,1516,,,,
105,326,67.42,1.7,1.74,0.01,2.02,0.67,-0.23,-0.28,4.5,7.84,4.92,6.6,0.8,778,2717,1524,,,,
106,351,69.52,1.7,1.75,0.01,2.12,0.67,-0.24,-0.32,4.68,7.98,4.9,6.75,0.85,848,2717,1531,,,,
107,372,71.15,1.69,1.74,0.01,2.2,0.68,-0.25,-0.35,4.8,8.08,4.88,6.9,0.9,903,2717,1537,,,,
108,400,73.75,1.69,1.84,0,2.32,0.69,-0.24,-0.41,5,8.26,4.9,7.2,0.85,988,2717,1547,,,,
109,431,76.65,1.79,1.85,0.01,2.46,0.7,-0.25,-0.43,5.26,8.52,4.92,7.45,0.95,1068,2717,1559,,,,
110,440,77.71,1.81,1.85,0.01,2.51,0.72,-0.25,-0.46,5.34,8.62,4.92,7.6,0.95,1090,2717,1603,,,,
111,451,79.24,1.81,1.92,0,2.56,0.72,-0.25,-0.46,5.5,8.82,4.94,7.65,0.95,1115,2717,1609,,,,
112,460,81.46,1.86,1.94,0,2.63,0.73,-0.26,-0.48,5.7,9.12,4.96,7.9,0.9,1143,2717,1618,,,,
113,470,83.76,1.91,2.05,0.01,2.69,0.76,-0.27,-0.51,5.9,9.44,4.98,8.2,1.05,1168,2717,1627,,,,
114,481,86.66,1.98,2.24,0,2.8,0.77,-0.28,-0.53,6.22,9.84,5,8.5,1.1,1195,2717,1639,,,,
115,489,88.96,2.01,2.36,0.01,2.87,0.78,-0.3,-0.57,6.42,10.08,5,8.75,1.15,1218,2717,1648,,,,
116,498,91.28,2.09,2.49,0.02,2.96,0.8,-0.32,-0.6,6.68,10.3,5.06,8.85,1.15,1243,2717,1658,,,,
117,502,92.64,2.13,2.55,0,2.97,0.79,-0.32,-0.62,6.76,10.42,5.1,8.95,1.2,1255,2717,1703,,,,
118,510,94.84,2.12,2.77,0.01,3.03,0.83,-0.32,-0.64,7.04,10.62,5.12,9.2,1.1,1278,2717,1712,,,,
119,519,97.36,2.24,2.83,0,3.1,0.83,-0.35,-0.7,7.28,10.88,5.14,9.4,1.25,1308,2717,1722,,,,
120,527,98.91,2.23,2.97,0,3.15,0.85,-0.36,-0.71,7.44,11.04,5.18,9.55,1.25,1325,2717,1729,,,,
121,530,99.77,2.33,3.07,0.01,3.2,0.86,-0.37,-0.7,7.52,11.12,5.18,9.75,1.3,1335,2717,1733,,,,
122,540,102.28,2.32,3.17,0.01,3.23,0.87,-0.38,-0.77,7.72,11.38,5.26,9.9,1.3,1365,2717,1744,,,,
123,550,104.82,2.43,3.38,0.01,3.29,0.88,-0.41,-0.82,7.94,11.64,5.3,10.2,1.35,1393,2717,1755,,,,
124,546,106.56,2.42,3.48,0.01,3.35,0.89,-0.42,-0.85,8.26,11.78,5.4,10.3,1.35,1375,2717,1802,,,,
125,551,107.91,2.55,3.54,0.01,3.39,0.9,-0.43,-0.86,8.5,11.84,5.38,10.45,1.4,1393,2717,1808,,,,
126,560,109.84,2.53,3.59,0.01,3.44,0.92,-0.43,-0.88,8.72,11.98,5.36,10.65,1.4,1413,2717,1816,,,,
127,568,112.28,2.64,3.79,0.01,3.51,0.93,-0.45,-0.93,9.04,12.22,5.4,10.8,1.45,1440,2717,1826,,,,
128,571,113.15,2.65,3.79,0.01,3.54,0.94,-0.46,-0.94,9.14,12.3,5.42,10.9,1.45,1445,2717,1830,,,,
129,579,116.07,2.76,3.99,-0.01,3.61,0.96,-0.48,-1,9.48,12.62,5.46,11.2,1.55,1473,2717,1843,,,,
130,577,119.18,2.76,4.08,0.01,3.69,0.97,-0.52,-1.03,9.68,13.26,5.48,11.6,1.5,1460,2717,1857,,,,
131,589,122.4,2.88,4.29,-0.02,3.78,0.99,-0.53,-1.08,9.92,13.82,5.5,11.85,1.6,1490,2717,1911,,,,
132,597,125.03,2.97,4.39,0.01,3.86,1,-0.57,-1.12,10.18,14.24,5.56,12.1,1.6,1498,2717,1923,,,,
133,594,125.62,2.98,4.4,0.02,3.86,1.01,-0.57,-1.12,10.2,14.38,5.54,12.15,1.65,1503,2717,1925,,,,
134,599,127.57,2.96,4.5,0.01,3.93,1.02,-0.58,-1.14,10.38,14.7,5.56,12.35,1.65,1513,2717,1934,,,,
135,610,132.49,3.15,4.7,0,4.02,1.05,-0.63,-1.21,10.82,15.48,5.58,12.75,1.7,1540,2717,1956,,,,
136,613,135.22,3.17,4.87,0.01,4.11,1.06,-0.66,-1.27,11.34,15.86,5.68,13.1,1.75,1518,2717,2009,,,,
137,606,135.72,3.19,4.91,0.02,4.14,1.07,-0.66,-1.26,11.48,15.9,5.68,13.1,1.8,1518,2717,2011,,,,
138,603,136.68,3.29,4.91,0.01,4.17,1.07,-0.66,-1.26,11.88,15.94,5.68,13.15,1.75,1505,2717,2015,,,,
139,598,137.96,3.28,4.91,0.01,4.22,1.07,-0.67,-1.28,12.38,15.98,5.7,13.3,1.75,1480,2717,2021,,,,
140,595,139.45,3.35,5.02,0.01,4.27,1.06,-0.67,-1.28,12.84,16.02,5.68,13.45,1.75,1475,2717,2027,,,,
141,557,141.02,3.4,5.02,0.01,4.34,1.08,-0.7,-1.26,13.92,16,5.7,13.65,1.85,1328,2717,2034,,,,
142,550,142.1,3.51,5.03,0.01,4.37,1.08,-0.7,-1.25,14.5,15.98,5.7,13.7,1.8,1298,2717,2039,,,,
143,543,143.38,3.51,5.07,0,4.41,1.08,-0.71,-1.25,15,15.92,5.7,13.85,1.8,1130,2717,2044,,,,
144,479,144.26,3.62,5.12,0,4.46,1.07,-0.71,-1.21,16.2,15.82,5.74,13.9,1.85,1060,2717,2048,,,,
145,475,145.05,3.61,5.09,-0.01,4.46,1.06,-0.71,-1.2,16.54,15.82,5.72,13.95,1.85,1050,2717,2051,,,,
146,478,148.1,3.72,5.08,0,4.55,1.06,-0.73,-1.18,17.68,15.8,5.68,14.3,1.95,1035,2717,2103,,,,
147,477,150.08,3.73,5.11,0.01,4.6,1.06,-0.75,-1.16,18.42,15.82,5.72,14.45,1.95,1028,2717,2112,,,,
148,477,154.13,3.82,5.12,0.01,4.74,1.07,-0.77,-1.14,19.9,15.8,5.72,14.8,1.9,1005,2717,2129,,,,
149,466,158.41,3.94,5.11,0,4.87,1.08,-0.78,-1.1,21.6,15.74,5.7,15.25,2.05,950,2717,2146,,,,
150,465,158.9,3.93,5.12,0.01,4.88,1.08,-0.79,-1.1,21.8,15.74,5.7,15.25,2.05,940,2717,2148,,,,
151,453,164.27,4.13,5.12,0.01,5.04,1.1,-0.82,-1.05,23.94,15.68,5.76,15.85,2.1,880,2717,2210,,,,
152,450,165.06,4.12,5.12,0.01,5.06,1.11,-0.82,-1.04,24.2,15.66,5.72,15.95,2.15,875,2717,2213,,,,
153,425,168.35,4.25,5.11,0.01,5.17,1.13,-0.85,-0.96,25.84,15.56,5.68,16.25,2.15,778,2717,2226,,,,
154,415,169.95,4.34,5.12,0.01,5.17,1.15,-0.86,-0.93,26.6,15.48,5.7,16.35,2.2,738,2717,2232,,,,
