#CTIME	DISP1	GAMMA1	VEL1	FORCE1	FORCETRI1	FORCESLIP1	ENERGY1	DISP2	GAMMA2	VEL2	FORCE2	FORCETRI2	FORCESLIP2	ENERGY2
2.46	-0.2476	-0.00090036	-2.5597	-1.8884	-3.0504	-1.1439	0.23428	-0.20523	-0.00082094	-1.2063	-1.0692	-1.7309	-0.6491	0.15344
2.48	-0.28622	-0.0010408	-1.2296	-2.1857	-3.5305	-1.3239	0.31307	-0.22429	-0.00089716	-0.70457	-1.1692	-1.8926	-0.70975	0.15344
2.5	-0.29713	-0.0010805	0.054642	-2.2261	-3.556	-1.3756	0.33721	-0.23306	-0.00093226	-0.15744	-1.2155	-1.9677	-0.73788	0.15344
2.52	-0.28854	-0.0010492	0.66342	-2.1614	-3.4514	-1.3364	0.33721	-0.23023	-0.00092093	0.44257	-1.2014	-1.9448	-0.7293	0.15344
2.54	-0.27301	-0.00099277	0.90892	-2.0431	-3.2603	-1.2648	0.33721	-0.21566	-0.00086265	0.99882	-1.126	-1.8227	-0.68351	0.15344
2.56	-0.24856	-0.00090387	1.6917	-1.8574	-2.9604	-1.1523	0.33721	-0.19106	-0.00076424	1.4439	-0.99811	-1.6157	-0.60589	0.15344
2.58	-0.2018	-0.00073382	3.0053	-1.5021	-2.3864	-0.93702	0.33721	-0.15825	-0.000633	1.8378	-0.82739	-1.3393	-0.50226	0.15344
2.6	-0.13102	-0.00047645	3.923	-0.96253	-1.5149	-0.61021	0.33721	-0.11722	-0.0004689	2.2752	-0.61385	-0.99365	-0.37262	0.15344
2.62	-0.050257	-0.00018275	4.0379	-0.34541	-0.51807	-0.23641	0.33721	-0.067043	-0.00026817	2.739	-0.35259	-0.57071	-0.21402	0.15344
2.64	0.028491	0.0001036	3.8519	0.25675	0.45457	0.12833	0.33721	-0.0082774	-3.311e-05	3.1123	-0.046459	-0.075146	-0.02818	0.15344
2.66	0.10422	0.00037897	3.7249	0.83572	1.3897	0.47903	0.33721	0.056176	0.00022471	3.2965	0.28954	0.46877	0.17579	0.15344
2.68	0.17444	0.00063432	3.1443	1.3733	2.2581	0.80465	0.33721	0.12198	0.00048791	3.2371	0.63283	1.0245	0.38418	0.15344
2.7	0.2249	0.00081783	1.8027	1.7611	2.8844	1.0395	0.33721	0.18343	0.00073373	2.8433	0.95379	1.544	0.57902	0.15344
2.72	0.24789	0.00090141	0.65605	1.9385	3.171	1.147	0.33721	0.23289	0.00093156	2.0346	1.2126	1.963	0.73614	0.15344
2.74	0.25861	0.0009404	0.62176	2.0205	3.3035	1.1967	0.33721	0.26273	0.0010509	0.9224	1.3633	2.2015	0.83134	0.18002
2.76	0.27675	0.0010064	1.1925	2.1555	3.5189	1.2801	0.33721	0.27028	0.0010811	-0.12941	1.3815	2.2113	0.8559	0.19063
2.78	0.30193	0.0010979	1.1102	2.2414	3.5634	1.3968	0.37362	0.25931	0.0010373	-0.91959	1.3251	2.12	0.82168	0.19063
2.8	0.31389	0.0011414	-0.059629	2.283	3.5849	1.4532	0.40073	0.23552	0.00094208	-1.41	1.2015	1.9199	0.74665	0.19063
2.82	0.29845	0.0010853	-1.3914	2.1671	3.3976	1.383	0.40073	0.20461	0.00081842	-1.6499	1.0405	1.6593	0.64891	0.19063
2.84	0.26107	0.00094933	-2.2998	1.8827	2.9383	1.2107	0.40073	0.17041	0.00068162	-1.7571	0.86226	1.3707	0.54069	0.19063
2.86	0.20623	0.00074992	-3.2415	1.4651	2.2636	0.95774	0.40073	0.1345	0.00053799	-1.8397	0.67505	1.0677	0.42704	0.19063
2.88	0.1302	0.00047344	-4.365	0.88568	1.3277	0.60679	0.40073	0.096119	0.00038447	-2.026	0.47506	0.74391	0.30564	0.19063
2.9	0.034379	0.00012501	-5.0806	0.15446	0.14662	0.16386	0.40073	0.052092	0.00020837	-2.4111	0.24582	0.37282	0.16647	0.19063
2.92	-0.065639	-0.00023869	-4.695	-0.61056	-1.0891	-0.29953	0.40073	-0.0013262	-5.3049e-06	-2.9387	-0.032261	-0.077345	-0.00234	0.19063
2.94	-0.14786	-0.00053767	-3.4761	-1.2409	-2.1071	-0.6813	0.40073	-0.064785	-0.00025914	-3.3658	-0.36281	-0.61245	-0.20301	0.19063
2.96	-0.20807	-0.00075661	-2.7568	-1.7021	-2.8522	-0.96071	0.40073	-0.13355	-0.00053421	-3.4416	-0.72142	-1.193	-0.4207	0.19063
2.98	-0.2649	-0.00096327	-3.0489	-2.1138	-3.4974	-1.2235	0.40073	-0.19989	-0.00079957	-3.1393	-1.0678	-1.7536	-0.63096	0.19063
3	-0.33026	-0.001201	-3.3698	-2.3365	-3.6125	-1.5259	0.50505	-0.25667	-0.0010267	-2.479	-1.3485	-2.1938	-0.81115	0.19063
3.02	-0.39438	-0.0014341	-2.905	-2.5554	-3.7258	-1.8231	0.66201	-0.29846	-0.0011938	-1.7066	-1.4458	-2.2444	-0.94396	0.24503
