#GAMMA2	FORCE2
-0.015064	1.2211
-0.014608	1.2665
-0.014115	1.3155
-0.013585	1.3682
-0.01302	1.4245
-0.01242	1.4841
-0.011788	1.547
-0.011125	1.6129
-0.010436	1.6815
-0.0097233	1.7524
-0.0089899	1.8254
-0.0082401	1.9001
-0.0074783	1.9759
-0.0067095	2.0524
-0.0059388	2.1291
-0.0051716	2.2055
-0.0044129	2.2811
-0.0036678	2.3552
-0.0029414	2.4276
-0.0022386	2.4976
-0.0015647	2.5647
-0.00092501	2.6284
-0.00032508	2.6882
0.00022964	2.7434
0.00073382	2.7937
0.0011813	2.8383
0.0015609	2.8762
0.001856	2.9057
0.0020469	2.9248
0.0021135	2.9328
0.0020382	2.8147
0.0018162	2.462
0.0014639	1.9003
0.0010161	1.1852
0.00052	0.39222
3.2311e-05	-0.38841
-0.00039533	-0.43857
-0.00075451	-0.47108
-0.0010471	-0.49757
-0.0012747	-0.51819
-0.001439	-0.53309
-0.0015419	-0.54244
-0.0015841	-0.54632
-0.0015645	-0.51587
-0.0014825	-0.38573
-0.0013425	-0.16265
-0.0011526	0.14031
-0.00092323	0.50663
-0.0006653	0.91878
-0.00038924	1.3601
-0.0001042	1.8159
0.00018233	2.2742
0.00046457	2.7257
0.00073277	2.8066
0.00098303	2.8292
0.0012184	2.8504
0.0014421	2.8707
0.0016576	2.8901
0.0018681	2.9091
0.0020762	2.9279
0.0022839	2.9483
0.0024921	2.969
0.0027005	2.9898
0.0029078	3.0104
0.0031117	3.0307
0.003309	3.0504
0.0034962	3.069
0.0036685	3.0862
0.0038208	3.1014
0.0039441	3.1137
0.0040212	3.1214
0.0040277	3.1126
0.0039366	2.9687
0.0037296	2.6395
0.003403	2.1191
0.0029702	1.4283
0.002474	0.63521
0.001979	-0.15698
0.0015362	-0.24634
0.0011513	-0.28116
0.00081755	-0.31135
0.00052858	-0.3375
0.00027822	-0.36014
6.0503e-05	-0.37984
-0.0001304	-0.3971
-0.00030024	-0.41246
-0.00045465	-0.42642
-0.00059893	-0.43946
-0.00073789	-0.45202
-0.00087566	-0.46446
